,date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
4757,2022-02-03 16:34:00,1900-01-01 16:34:00,white,2_Equipment violation,No,18.0,19000 Shoreline Highway,17:36:18,18:04:29,1056.0,1084.0,994.0,90.0,0,0
4762,2022-02-03 19:00:00,1900-01-01 19:00:00,white,1_Moving violation,No,1.0,EB Hwy 37 prior to Atherton ,17:36:18,18:04:29,1056.0,1084.0,1140.0,-56.0,1,1
4765,2022-02-03 15:45:00,1900-01-01 15:45:00,white,"3_Non-moving violation, including registration",No,0.0,Highway 101 North/ De Long Ave ,17:36:18,18:04:29,1056.0,1084.0,945.0,139.0,0,0
4766,2022-02-03 20:45:00,1900-01-01 20:45:00,white,1_Moving violation,No,7.0,16000 pt Reyes Petaluma rd,17:36:18,18:04:29,1056.0,1084.0,1245.0,-161.0,1,1
4767,2022-02-03 20:22:00,1900-01-01 20:22:00,white,"3_Non-moving violation, including registration",No,1.0,EB 37 at Atherton ,17:36:18,18:04:29,1056.0,1084.0,1222.0,-138.0,1,1
4768,2022-02-03 21:09:00,1900-01-01 21:09:00,hispanic/latino(a),2_Equipment violation,No,0.0,Ignacio BLVD,17:36:18,18:04:29,1056.0,1084.0,1269.0,-185.0,1,1
4769,2022-02-03 23:55:00,1900-01-01 23:55:00,black/african american,2_Equipment violation,No,3.0,100 Shoreline Highway,17:36:18,18:04:29,1056.0,1084.0,1435.0,-351.0,0,1
4772,2022-02-03 22:30:00,1900-01-01 22:30:00,white,,No,0.0,Binford Rd,17:36:18,18:04:29,1056.0,1084.0,1350.0,-266.0,0,1
4773,2022-02-03 22:52:00,1900-01-01 22:52:00,white,,No,0.0,Binford Rd,17:36:18,18:04:29,1056.0,1084.0,1372.0,-288.0,0,1
4774,2022-02-03 21:22:00,1900-01-01 21:22:00,white,2_Equipment violation,No,6.0,NICASIO VALLEY / PT REYES PETALUMA ,17:36:18,18:04:29,1056.0,1084.0,1282.0,-198.0,0,1
4775,2022-02-03 22:48:00,1900-01-01 22:48:00,white,,Yes,2.0,700 Redwood Highway Frontage Rd,17:36:18,18:04:29,1056.0,1084.0,1368.0,-284.0,0,1
4776,2022-02-04 16:58:00,1900-01-01 16:58:00,white,1_Moving violation,Yes,5.0, Belvedere Dr/Reed Blvd ,17:37:26,18:05:33,1057.0,1086.0,1018.0,68.0,0,0
4777,2022-02-04 19:43:00,1900-01-01 19:43:00,hispanic/latino(a),2_Equipment violation,No,3.0,500 Seminary Dr,17:37:26,18:05:33,1057.0,1086.0,1183.0,-97.0,1,1
