date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark,neighborhood,zip,coords,gmap address
,,,,,,,,,,,,,,,Civic Center Drive,94903,"38.0016302, -122.5367593","3500 Civic Center Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Lucky Drive,94904,"37.9408642, -122.516657","4 Lucky Dr, Greenbrae, CA 94904, USA"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,Atherton Avenue,94945,"38.1093053, -122.5310329","400 Atherton Ave, Novato, CA 94945, USA"
,,,,,,,,,,,,,,,Miller Creek Road,94903,"38.0336817, -122.547339","400 Miller Creek Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Sir Francis Drake Boulevard,94904,"37.9470413, -122.5224188","400 Sir Francis Drake Blvd, Kentfield, CA 94904, USA"
,,,,,,,,,,,,,,,Bel Marin Keys Boulevard,94949,"38.0764792, -122.5355823","400 Bel Marin Keys Blvd, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,Bel Marin Keys Boulevard,94949,"38.0764792, -122.5355823","400 Bel Marin Keys Blvd, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,Seminary Drive,94941,"37.8907314, -122.5153702","400 Seminary Dr, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,Marin County,94945,"38.1287721, -122.5633","Binford Rd, California 94945, USA"
,,,,,,,,,,,,,,,Bridgeway,94965,"37.8713432, -122.5035922","4000 Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Bridgeway,94965,"37.8713432, -122.5035922","4000 Bridgeway, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Civic Center Drive,94903,"38.0044896, -122.5382765","4000 Civic Center Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Cole Drive,94965,"37.8680788, -122.5082169","49 Cole Dr, Sausalito, CA 94965, USA"
,,,,,,,,,,,,,,,Sky Oaks Road,94930,"37.96812790000001, -122.6044726","49 Sky Oaks Rd, Fairfax, CA 94930, USA"
,,,,,,,,,,,,,,,Hathaway Drive,94949,"38.04554710000001, -122.5230083","5 Hathaway Dr, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,Bellam Boulevard,94901,"37.9591184, -122.5055622","50 Bellam Blvd, San Rafael, CA 94901, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Point San Pedro Road,94901,"37.9737125, -122.4863439","500 Point San Pedro Rd, San Rafael, CA 94901, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
