date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
2020-10-13 09:30:00,1900-01-01 09:30:00,white,2_Equipment violation,,,Tam junction ,18:34:58,19:01:58,1115.0,1142.0,570.0,572.0,0,0
2020-10-13 09:48:00,1900-01-01 09:48:00,white,1_Moving violation,,,Marin Ave/Spruce St,18:34:58,19:01:58,1115.0,1142.0,588.0,554.0,0,0
2020-10-13 15:35:00,1900-01-01 15:35:00,black/african american,1_Moving violation,,6.0,Highway 101 at Lucas Valley,18:34:58,19:01:58,1115.0,1142.0,935.0,207.0,0,0
2020-10-12 23:00:00,1900-01-01 23:00:00,white,,,0.0,200 Harbor Drive,18:36:24,19:03:22,1116.0,1143.0,1380.0,-237.0,0,1
2020-10-13 20:05:00,1900-01-01 20:05:00,white,2_Equipment violation,,11.0,664 Redwood HWY Frontage Rd,18:34:58,19:01:58,1115.0,1142.0,1205.0,-63.0,1,1
2020-10-12 20:10:00,1900-01-01 20:10:00,white,2_Equipment violation,,0.0,Highway 101/Rowland Blvd,18:36:24,19:03:22,1116.0,1143.0,1210.0,-67.0,1,1
2020-10-13 20:08:00,1900-01-01 20:08:00,black/african american,2_Equipment violation,,4.0,Sir Francis drake/larkspur landing,18:34:58,19:01:58,1115.0,1142.0,1208.0,-66.0,1,1
2020-10-13 21:41:00,1900-01-01 21:41:00,hispanic/latino(a),2_Equipment violation,,4.0,Sir Francis drake/la cuesta,18:34:58,19:01:58,1115.0,1142.0,1301.0,-159.0,0,1
2020-10-13 23:36:00,1900-01-01 23:36:00,white,,,0.0,Highway 101/Lucas Valley Road,18:34:58,19:01:58,1115.0,1142.0,1416.0,-274.0,0,1
2020-10-12 21:34:00,1900-01-01 21:34:00,hispanic/latino(a),1_Moving violation,,0.0,Highway 37/ Harbor Dr,18:36:24,19:03:22,1116.0,1143.0,1294.0,-151.0,0,1
2020-10-13 23:28:00,1900-01-01 23:28:00,hispanic/latino(a),2_Equipment violation,,0.0,Highway 101/ Alemeda Del Prado ,18:34:58,19:01:58,1115.0,1142.0,1408.0,-266.0,0,1
2020-10-14 01:19:00,1900-01-01 01:19:00,white,2_Equipment violation,,3.0,Hwy 101 at N San Pedro Rd,18:33:34,19:00:35,1114.0,1141.0,79.0,1062.0,0,0
2020-10-14 02:16:00,1900-01-01 02:16:00,white,2_Equipment violation,,0.0,Binford Rd/ Atherton Rd,18:33:34,19:00:35,1114.0,1141.0,136.0,1005.0,0,0
2020-10-13 13:45:00,1900-01-01 13:45:00,white,1_Moving violation,,5.0,Sir Francis Drake Blvd/Lagunitas Road ,18:34:58,19:01:58,1115.0,1142.0,825.0,317.0,0,0
2020-10-14 12:39:00,1900-01-01 12:39:00,white,1_Moving violation,,15.0,600 redwood hwy/frontage rd,18:33:34,19:00:35,1114.0,1141.0,759.0,382.0,0,0
2020-10-14 15:46:00,1900-01-01 15:46:00,white,1_Moving violation,,17.0,Sb 101 at north San Pedro ,18:33:34,19:00:35,1114.0,1141.0,946.0,195.0,0,0
2020-10-14 21:15:00,1900-01-01 21:15:00,middle eastern or south asian,"3_Non-moving violation, including registration",,4.0,Sir Francis drake/west gate,18:33:34,19:00:35,1114.0,1141.0,1275.0,-134.0,0,1
2020-10-14 21:30:00,1900-01-01 21:30:00,hispanic/latino(a),2_Equipment violation,,6.0,900 Ander00n,18:33:34,19:00:35,1114.0,1141.0,1290.0,-149.0,0,1
